ParName   Value   Gradient
selparm[98]     -4.25399 4.74049e-006
selparm[99]     -4.22939 -1.91861e-006
selparm[100]     -3.56389 -3.17686e-006
selparm[101]     -6.52021 9.28932e-006
selparm[102]     -1.82595 -9.67556e-007
selparm[103]    0.0208979 -7.04171e-007
selparm[104]     -1.58339 8.66079e-006
selparm[105]     -1.36535  4.4352e-005
selparm[106]     -2.22167 -8.04052e-007
selparm[107]     -1.75414 -1.88973e-006
selparm[108]     -2.36721 -7.32802e-006
selparm[109]     -3.37328 -1.16587e-006
selparm[110]     -2.08105 -1.05832e-006
selparm[111]     -2.68199 2.95202e-006
selparm[112]     -2.94793 -5.32482e-006
selparm[113]     -3.34098 1.92507e-006
selparm[114]     -5.29576 1.16875e-006
selparm[115]    -0.872501 -1.30273e-006
selparm[116]     -2.32991 -9.64856e-006
selparm[117]    -0.551578 6.25278e-006
selparm[118]      0.86459 7.47626e-006
selparm[119]       1.5134 7.43118e-005
selparm[120]     -1.90878  7.0217e-007
selparm[121]     -1.56911 -5.53114e-006
selparm[122]    -0.437177 -2.05328e-006
selparm[123]     -2.47848 -4.37144e-006
selparm[124]     -3.05221 -3.88059e-006
selparm[125]    -0.903894 -1.09807e-006
selparm[126]      -1.5529 -2.34205e-006
selparm[127]     -1.54288 -6.35534e-008
selparm[128]     0.677135 3.58042e-007
selparm[129]  -0.00659693 -2.22228e-006
selparm[130]    -0.970337 -1.26442e-006
selparm[131]      2.46606 -9.27715e-007
selparm[132]      2.50047 -6.49221e-006
selparm[133]      1.67191 -3.48958e-005
selparm[134]      2.49842 -4.26818e-005
selparm[135]      2.95957 1.47926e-005
selparm[136]      2.87269 -6.00903e-006
selparm[137]      2.39737 -2.53384e-006
selparm[138]      2.88727 2.13625e-005
selparm[139]      6.64977 -1.30748e-006
selparm[140]      7.44006 -2.36055e-007
selparm[141]      2.87637 5.24895e-007
selparm[143]      2.96829 5.43432e-008
selparm[145]      1.90792 5.60837e-007
selparm[146]      10.0667 -8.64989e-007
parm_dev[1](1982)      1.49909 6.98211e-006
parm_dev[1](1983)     0.198661 -4.87368e-006
parm_dev[1](1984)     0.393124 6.49056e-006
parm_dev[1](1985)     0.961294 1.66856e-006
parm_dev[1](1986)     0.539306 6.74021e-006
parm_dev[1](1987)      0.96455 2.60355e-006
parm_dev[1](1988)     0.388011 -1.7438e-006
parm_dev[1](1989)     0.248405 -1.59265e-005
parm_dev[1](1990)     -1.29427 -1.54203e-006
parm_dev[1](1991)    -0.362707 -1.43128e-006
parm_dev[1](1992)    -0.370713 2.41256e-007
parm_dev[1](1993)    -0.766393 -9.82102e-006
parm_dev[1](1994)    -0.257959 1.69309e-006
parm_dev[1](1995)     -1.57958 8.65876e-007
parm_dev[1](1996)    -0.743545 7.54476e-006
parm_dev[1](1997)    -0.575413 -4.91749e-006
parm_dev[1](1998)     -1.59953 -1.3157e-006
parm_dev[1](1999)   -0.0213199 -2.29866e-006
parm_dev[1](2000)      1.65966 -7.8056e-006
parm_dev[1](2001)       2.7942 -8.26946e-006
parm_dev[1](2002)      1.87763 -2.63352e-006
parm_dev[1](2003)      1.35676 1.64649e-007
parm_dev[1](2004)      1.56204 -1.21571e-005
parm_dev[1](2005)    -0.836005 -1.04661e-006
parm_dev[1](2006)    -0.917958 -1.04823e-005
parm_dev[1](2007)     -2.70032 -1.48069e-006
parm_dev[1](2008)     -4.46156 -1.01108e-005
parm_dev[1](2009)     -3.41579 -1.0268e-005
parm_dev[1](2010)     -1.32368 -2.1291e-006
parm_dev[1](2011)    -0.201092 -8.55257e-006
parm_dev[1](2012)    -0.142677 -5.92058e-006
parm_dev[1](2013)     0.820891 1.83375e-006
parm_dev[1](2014)       0.4757 -9.34945e-006
