est,conf.up,conf.low,trend,index,dummy0,isSig
0.6025437213757139,0.8547840858736482,0.3503033568777796,1,NCOPspring,0,1
0.5102070228177468,0.7125966596688532,0.3078173859666402,1,NCOPsummerlag1,0,1
0.12822429306763,0.05425242638717681,0.20219615974808325,1,BEUTI_33N,0,1
0.5281872439652341,0.6094718872178089,0.4469026007126595,1,BEUTI_39N,0,1
0.2945558645584222,0.23090714546067687,0.3582045836561676,1,CUTI_33N,0,1
0.5283545150530715,0.6064752207118064,0.45023380939433666,1,CUTI_39N,0,1
0.22647923123548286,0.05753869735800572,0.39541976511296,1,OC_LUSI_33N,0,1
-0.19025212562717092,-0.2777622103017874,-0.1027420409525544,1,OC_STI_33N,0,1
-0.21610188287733045,-0.24754357699604837,-0.1846601887586125,1,RREAS_Myctophids,0,1
-0.33181540163098794,-0.4047287243359208,-0.25890207892605516,1,RREAS_YOYsardine,0,1
0.1280129571823526,0.153219916291279,0.10280599807342612,1,age1SprSardmeanWAA,0,1
-0.06753764151987207,-0.1446253719907633,0.009550088951019223,1,meanSSBwt,0,0
0.6991914364758377,0.7050601871031922,0.6933226858484832,1,ZM_NorCal,0,1
0.5814706988279605,0.599041837167039,0.563899560488882,1,ZM_SoCal,0,1
-0.3262167460856364,-0.3000127198349157,-0.35242077233635705,1,sardRec,0,1
0.037520699952206915,0.01452682963020513,0.06051457027420867,1,anchBioSmrySeas1,0,1
-0.5002639661488867,-0.5467246292132915,-0.45380330308448197,1,summerSST,0,1
-0.187645740924355,-0.2567539555106742,-0.1185375263380358,1,avgOffTransspring,0,1
0.22765610668047626,0.15706429598566865,0.298247917375284,1,avgOffTranssummer,0,1
0.15806485565120715,0.12910764799280963,0.18702206330960455,1,sprRelOffTrans,0,1
0.18770983847303238,-9.885701253969092e-4,0.37640824707146164,1,sumRelOffTrans,0,0
-0.22222060856782683,-0.22261017202272512,-0.22183104511292853,1,meanK,0,1
0.3815117340883567,0.3378743363626625,0.4251491318140509,1,OC_LUSI_39N,0,1
-0.13411772221036322,-0.29996780994206745,0.03173236552134118,1,sardSpawnHab,0,0
-0.6077200835716365,-0.49812897927421285,-0.7173111878690607,1,sardNurseHab,0,1
-0.7261762728389837,-0.7059363361300683,-0.7464162095478989,1,springSST,0,1
0.0022552028500361643,-0.04035289708264472,0.044863302782717024,1,randTest,0,0
0.2441102350360128,0.346301084394753,0.14191938567727264,2,NCOPspring,0,1
0.11100094784603332,0.3477696210763458,-0.12576772538427916,2,NCOPsummerlag1,0,0
0.26076680653575224,0.6927663958799728,-0.17123278280846826,2,BEUTI_33N,0,0
0.23948449978123168,0.5226167191407698,-0.04364771957830649,2,BEUTI_39N,0,0
0.19078899249491327,0.7600922156271335,-0.3785142306373068,2,CUTI_33N,0,0
0.13931964942896494,0.4861472083221975,-0.2075079094642676,2,CUTI_39N,0,0
0.15205605224034813,1.1309297698014091,-0.8268176653207129,2,OC_LUSI_33N,0,0
-0.11605965683668457,0.5636269090485708,-0.79574622272194,2,OC_STI_33N,0,0
-0.11388043675189985,0.6336086926792679,-0.8613695661830676,2,RREAS_Myctophids,0,0
-0.0660101609777891,0.7943988407050793,-0.9264191626606575,2,RREAS_YOYsardine,0,0
-0.01615479564526276,0.6520711291228177,-0.6843807204133432,2,age1SprSardmeanWAA,0,0
-0.0014892835655283543,1.1499949156014488,-1.1529734827325056,2,meanSSBwt,0,0
0.2243305536734115,0.870104086119915,-0.4214429787730921,2,ZM_NorCal,0,0
0.07195275987394903,0.6669188198928004,-0.5230133001449024,2,ZM_SoCal,0,0
-0.2353594967342335,0.04533364935766791,-0.5160526428261349,2,sardRec,0,0
0.1809597829185198,0.5747319353743543,-0.2128123695373147,2,anchBioSmrySeas1,0,0
-0.07595982174581864,0.7721387230389676,-0.9240583665306049,2,summerSST,0,0
-0.20578639967089107,0.26872095480569125,-0.6802937541474734,2,avgOffTransspring,0,0
0.033890450543438644,0.7563235468767605,-0.6885426457898833,2,avgOffTranssummer,0,0
0.22484825766119962,0.5482912441086083,-0.09859472878620903,2,sprRelOffTrans,0,0
0.13047757804099125,1.2171375754005236,-0.9561824193185409,2,sumRelOffTrans,0,0
0.058341751716903124,0.9184966831098015,-0.8018131796759953,2,meanK,0,0
0.1820635215981652,0.7440012670157391,-0.3798742238194088,2,OC_LUSI_39N,0,0
0.04115575010834954,1.2077820485086546,-1.1254705482919554,2,sardSpawnHab,0,0
-0.1571106151722804,0.2370561097226133,-0.5512773400671741,2,sardNurseHab,0,0
-0.18477271006359902,0.47667067411690645,-0.8462160942441046,2,springSST,0,0
0.028993907307081637,0.686792123644355,-0.6288043090301918,2,randTest,0,0
0.18689538429458236,0.26513461936587673,0.10865614922328802,3,NCOPspring,0,1
