"","MY","month","fleet","sex","part","ageerr","Lbin_lo","Lbin_hi","N_adj_year","0","1","2","3","4","5","6","7","8"
"1",1982,4,1,0,0,1,-1,-1,1.6,0,0,0.4,0.525,0.075,0,0,0,0
"2",1983,4,1,0,0,1,-1,-1,1.36,0,0.264705882352941,0.705882352941177,0.0294117647058824,0,0,0,0,0
"3",1985,4,1,0,0,1,-1,-1,7.6,0,0.421052631578947,0.557894736842105,0.0210526315789474,0,0,0,0,0
"4",1987,4,1,0,0,1,-1,-1,7.28,0.0054945054945055,0.906593406593407,0.0714285714285714,0.0164835164835165,0,0,0,0,0
"5",1988,4,1,0,0,1,-1,-1,5.36,0,0.104477611940299,0.701492537313433,0.134328358208955,0.0447761194029851,0.0149253731343284,0,0,0
"6",1990,4,1,0,0,1,-1,-1,3.4,0,0.352941176470588,0.352941176470588,0.2,0.0705882352941176,0.0235294117647059,0,0,0
"7",1992,4,1,0,0,1,-1,-1,3.2,0,0.05,0.8125,0.1125,0.0125,0.0125,0,0,0
"8",1993,4,1,0,0,1,-1,-1,2.72,0,0,0.117647058823529,0.764705882352941,0.102941176470588,0.0147058823529412,0,0,0
"9",1994,4,1,0,0,1,-1,-1,11.76,0.0247635868911211,0.460827527651247,0.321548705422738,0.164765549375207,0.0280946306596878,0,0,0,0
"10",1995,4,1,0,0,1,-1,-1,4.76,0.117647058823529,0.563025210084034,0.252100840336134,0.0672268907563025,0,0,0,0,0
"11",1996,4,1,0,0,1,-1,-1,89.28,0,0.108593119058059,0.559897764318218,0.284054702638652,0.0429407642570725,0.0042461680571032,0,0.000267481670895537,0
"12",1997,4,1,0,0,1,-1,-1,54.96,0.00565884577976195,0.420650206417737,0.467155383200826,0.0972966945260152,0.00789418781397958,0.00134468226167954,0,0,0
"13",1998,4,1,0,0,1,-1,-1,75.32,0.0594511780524643,0.640128705091878,0.240517972583894,0.0307822124388561,0.0219161141719683,0.00648343589484578,0.000720381766093975,0,0
"14",1999,4,1,0,0,1,-1,-1,6.96,0.120689655172414,0.517241379310345,0.35632183908046,0.00574712643678161,0,0,0,0,0
"15",2000,4,1,0,0,1,-1,-1,22.64,0.0575698153975767,0.223302609030774,0.474805429612342,0.228393285597446,0.0138985650386953,0.00203029532316625,0,0,0
"16",2001,4,1,0,0,1,-1,-1,37.24,0.239537556885198,0.254957649378599,0.115171608059669,0.249187833533475,0.0966844891718433,0.0343682734785511,0.0080672985887153,0.0020252909039493,0
"17",2002,4,1,0,0,1,-1,-1,30.32,0.112780763673161,0.683018530114544,0.162086602070385,0.0283559112043236,0.012926354427812,0.000831838509775078,0,0,0
"18",2003,4,1,0,0,1,-1,-1,17.76,0.533601980129173,0.206987016601992,0.23469049243912,0.0223075455571184,0.00241296527259615,0,0,0,0
"19",2004,4,1,0,0,1,-1,-1,33.52,0.0032371217633693,0.91514295351718,0.0592381612622898,0.00702862260702267,0.0109865090647865,0,0.0043666317853521,0,0
"20",2005,4,1,0,0,1,-1,-1,35.24,0.137476657073636,0.303964356839865,0.510810791867088,0.0391397288159964,0.00511329615577983,0.00233011283175654,0.00116505641587827,0,0
"21",2006,4,1,0,0,1,-1,-1,69.76,0.0088038692418104,0.667228206545933,0.279683228399813,0.0442846958124435,0,0,0,0,0
"22",2007,4,1,0,0,1,-1,-1,86,0.0264323267246585,0.202585036946386,0.605505335786414,0.15713175747369,0.0083455430688509,0,0,0,0
"23",2008,4,1,0,0,1,-1,-1,30.84,0.0538809870053999,0.26621785089634,0.595457351276919,0.0721687131537042,0.0122750976676364,0,0,0,0
"24",2009,4,1,0,0,1,-1,-1,22.88,0.00242217565052831,0.197689687866628,0.6372103174742,0.151246866199739,0.011430952808905,0,0,0,0
"25",2010,4,1,0,0,1,-1,-1,12.68,0.0157728706624606,0.79179810725552,0.167192429022082,0.0252365930599369,0,0,0,0,0
"26",2011,4,1,0,0,1,-1,-1,21.64,0,0.317240690439608,0.474131700247256,0.202402317136474,0.00622529217666299,0,0,0,0
"27",2012,4,1,0,0,1,-1,-1,22.32,0.0056577013184091,0.158680365154476,0.498580722256729,0.291705451890832,0.0369940490700688,0.00558780687299071,0.00279390343649535,0,0
"28",2013,4,1,0,0,1,-1,-1,8.84,0.0293943002605456,0.0377682511099443,0.23996519696308,0.274889802600027,0.332570816612579,0.0510271505986991,0.0181720509362472,0.00810621545943875,0.00810621545943875
"29",2014,4,1,0,0,1,-1,-1,5.92,0,0,0,0.0806451612903226,0.532258064516129,0.282258064516129,0.0887096774193548,0.0161290322580645,0
