"","Yr","Seas","Fleet","catch","catch_se"
"1",1981,1,1,0,0.05
"2",1981,2,1,0,0.05
"3",1982,1,1,1.74,0.05
"4",1982,2,1,0,0.05
"5",1983,1,1,9.16,0.05
"6",1983,2,1,0,0.05
"7",1984,1,1,67.46,0.05
"8",1984,2,1,0,0.05
"9",1985,1,1,124.94,0.05
"10",1985,2,1,0,0.05
"11",1986,1,1,47.54,0.05
"12",1986,2,1,0,0.05
"13",1987,1,1,181.16,0.05
"14",1987,2,1,0,0.05
"15",1988,1,1,350.23,0.05
"16",1988,2,1,0,0.05
"17",1989,1,1,102.2,0.05
"18",1989,2,1,0,0.05
"19",1990,1,1,137.92,0.05
"20",1990,2,1,0,0.05
"21",1991,1,1,4361.7,0.05
"22",1991,2,1,0,0.05
"23",1992,1,1,3919.25,0.05
"24",1992,2,1,0,0.05
"25",1993,1,1,827.51,0.05
"26",1993,2,1,0,0.05
"27",1994,1,1,8940.33,0.05
"28",1994,2,1,0,0.05
"29",1995,1,1,6048.3,0.05
"30",1995,2,1,0,0.05
"31",1996,1,1,12038.89,0.05
"32",1996,2,1,0,0.05
"33",1997,1,1,13018.2,0.05
"34",1997,2,1,0,0.05
"35",1998,1,1,19062.68,0.05
"36",1998,2,1,0,0.05
"37",1999,1,1,15060.75,0.05
"38",1999,2,1,0,0.05
"39",2000,1,1,23750.08,0.05
"40",2000,2,1,0,0.05
"41",2001,1,1,11607.29,0.05
"42",2001,2,1,0,0.05
"43",2002,1,1,16644.36,0.05
"44",2002,2,1,0,0.05
"45",2003,1,1,10410.67,0.05
"46",2003,2,1,0,0.05
"47",2004,1,1,17143.09,0.05
"48",2004,2,1,0,0.05
"49",2005,1,1,13802.99,0.05
"50",2005,2,1,0,0.05
"51",2006,1,1,20726.23,0.05
"52",2006,2,1,0,0.05
"53",2007,1,1,46228.11,0.05
"54",2007,2,1,0,0.05
"55",2008,1,1,30249.18,0.05
"56",2008,2,1,0,0.05
"57",2009,1,1,14044.87,0.05
"58",2009,2,1,0,0.05
"59",2010,1,1,11273.97,0.05
"60",2010,2,1,0,0.05
"61",2011,1,1,24871.4,0.05
"62",2011,2,1,0,0.05
"63",2012,1,1,1528.37,0.05
"64",2012,2,1,0,0.05
"65",2013,1,1,921.56,0.05
"66",2013,2,1,0,0.05
"67",2014,1,1,1830.91,0.05
"68",2014,2,1,0,0.05
"69",2015,1,1,6.13,0.05
"70",2015,2,1,0,0.05
"71",2016,1,1,283.54,0.05
"72",2016,2,1,0,0.05
"73",2017,1,1,378.2,0.05
"74",2017,2,1,0,0.05
