"","temp2","month","year","south.stock","north.stock"
"138",0.87582845754111,6,1993,1,0
"139",0.989364240029654,7,1993,1,0
"140",0.986438741455235,8,1993,1,0
"141",0.989171196152127,9,1993,1,0
"142",0.992808504543917,10,1993,1,0
"143",0.813413658812207,11,1993,1,0
"144",0.191819483377848,12,1993,0,1
"145",0.000513215293816839,1,1994,0,1
"146",0.000259605399793399,2,1994,0,1
"147",0.0186152912215064,3,1994,0,1
"148",0.0295509433254115,4,1994,0,1
"149",0.229092378643086,5,1994,0,1
"150",0.757424104988474,6,1994,1,0
"151",0.909935672381931,7,1994,1,0
"152",0.958384507958373,8,1994,1,0
"153",0.97025374097486,9,1994,1,0
"154",0.896078722846636,10,1994,1,0
"155",0.386091670680684,11,1994,0,1
"156",9.62193288008469e-16,12,1994,0,1
"157",0.00108108108108204,1,1995,0,1
"158",0.00108108108108204,2,1995,0,1
"159",0.112444444444445,3,1995,0,1
"160",0.0016380016380026,4,1995,0,1
"161",0.00724967391634155,5,1995,0,1
"162",0.407599309153714,6,1995,0,1
"163",1,7,1995,1,0
"164",1,8,1995,1,0
"165",1,9,1995,1,0
"166",1,10,1995,1,0
"167",0.968676485049282,11,1995,1,0
"168",0.487723538378949,12,1995,0,1
"169",0.0919092392237687,1,1996,0,1
"170",9.0205620750794e-16,2,1996,0,1
"171",0.00496161225066888,3,1996,0,1
"172",0.27416941729299,4,1996,0,1
"173",0.728028574877762,5,1996,1,0
"174",0.757836232418025,6,1996,1,0
"175",0.897021342033242,7,1996,1,0
"176",0.982973073072074,8,1996,1,0
"177",0.994270548272478,9,1996,1,0
"178",0.763601356635242,10,1996,1,0
"179",0.39895012680896,11,1996,0,1
"180",0.106603023070805,12,1996,0,1
"181",0.000259000259001332,1,1997,0,1
"182",0.000259000259001332,2,1997,0,1
"183",0.0344353727761496,3,1997,0,1
"184",0.329225268658204,4,1997,0,1
"185",0.671964754707144,5,1997,1,0
"186",0.887409439926388,6,1997,1,0
"187",0.968977151977242,7,1997,1,0
"188",1,8,1997,1,0
"189",1,9,1997,1,0
"190",1,10,1997,1,0
"191",1,11,1997,1,0
"192",0.968963781258589,12,1997,1,0
"193",0.875073308197585,1,1998,1,0
"194",0.367490751445968,2,1998,0,1
"195",0.120226944017745,3,1998,0,1
"196",0.160026985901596,4,1998,0,1
"197",0.433680877850828,5,1998,0,1
"198",0.708387223202039,6,1998,1,0
"199",0.940464531215619,7,1998,1,0
"200",1,8,1998,1,0
"201",0.991305639921194,9,1998,1,0
"202",0.94096370597794,10,1998,1,0
"203",0.45806020403185,11,1998,0,1
"204",0.00343642611683966,12,1998,0,1
"205",1.17209482860166e-15,1,1999,0,1
"206",1.17209482860166e-15,2,1999,0,1
"207",1.17209482860166e-15,3,1999,0,1
"208",0.000264760391846552,4,1999,0,1
"209",0.185713651576144,5,1999,0,1
"210",0.631756972148433,6,1999,1,0
"211",0.946625328931382,7,1999,1,0
"212",0.824241195882301,8,1999,1,0
"213",0.82743167434502,9,1999,1,0
"214",0.790403053270726,10,1999,1,0
"215",0.629406279883128,11,1999,1,0
"216",0.0643846780766107,12,1999,0,1
"217",1.0547118733939e-15,1,2000,0,1
"218",1.0547118733939e-15,2,2000,0,1
"219",1.0547118733939e-15,3,2000,0,1
"220",0.136577994933045,4,2000,0,1
"221",0.457995680945097,5,2000,0,1
"222",0.722102935960525,6,2000,1,0
"223",0.852031549989261,7,2000,1,0
"224",0.896510274247556,8,2000,1,0
"225",0.987410563012257,9,2000,1,0
"226",0.900156449804853,10,2000,1,0
"227",0.446274393529135,11,2000,0,1
"228",0.0360889817596109,12,2000,0,1
"229",0.0013495276653181,1,2001,0,1
"230",9.5641087642188e-16,2,2001,0,1
"231",0.00266971777269356,3,2001,0,1
"232",0.0341728680877251,4,2001,0,1
"233",0.513154099509841,5,2001,1,0
"234",0.899702247716271,6,2001,1,0
"235",0.902154436065679,7,2001,1,0
"236",0.927177618403838,8,2001,1,0
"237",0.990419626426067,9,2001,1,0
"238",0.937023873137382,10,2001,1,0
"239",0.706127879503878,11,2001,1,0
"240",0.0581267217630864,12,2001,0,1
"241",0.000276395798784839,1,2002,0,1
"242",9.80697005085555e-16,2,2002,0,1
"243",9.80697005085555e-16,3,2002,0,1
"244",0.00579150579150677,4,2002,0,1
"245",0.207949987611006,5,2002,0,1
"246",0.69730613468624,6,2002,1,0
"247",0.938047933269649,7,2002,1,0
"248",0.982759824362879,8,2002,1,0
"249",0.939343708331051,9,2002,1,0
"250",0.793378463638131,10,2002,1,0
"251",0.520068159404167,11,2002,1,0
"252",0.244030603943106,12,2002,0,1
"253",0.0572123972847454,1,2003,0,1
"254",0.0597021142134905,2,2003,0,1
"255",8.91647866652079e-16,3,2003,0,1
"256",8.91647866652079e-16,4,2003,0,1
"257",0.000858369098713338,5,2003,0,1
"258",0.583577712609972,6,2003,1,0
"259",0.957976876664308,7,2003,1,0
"260",0.999645012424566,8,2003,1,0
"261",0.961476977682994,9,2003,1,0
"262",0.865921508052291,10,2003,1,0
"263",0.508997239419707,11,2003,1,0
"264",0.0482855535301566,12,2003,0,1
"265",1.13805088038562e-15,1,2004,0,1
"266",1.13805088038562e-15,2,2004,0,1
"267",0.0252737994945251,3,2004,0,1
"268",0.28083026637314,4,2004,0,1
"269",0.399015621503947,5,2004,0,1
"270",0.418407550248914,6,2004,0,1
"271",0.845862438635603,7,2004,1,0
"272",0.933043959195078,8,2004,1,0
"273",0.986152768371301,9,2004,1,0
"274",0.965473742026797,10,2004,1,0
"275",0.765553625008814,11,2004,1,0
"276",0.151160927774907,12,2004,0,1
"277",1.12988322401956e-15,1,2005,0,1
"278",0.000281769512539873,2,2005,0,1
"279",0.0357075252489793,3,2005,0,1
"280",0.105284752737556,4,2005,0,1
"281",0.417761282690114,5,2005,0,1
"282",0.516899714662806,6,2005,1,0
"283",0.621250952383158,7,2005,1,0
"284",0.940745626021828,8,2005,1,0
"285",0.886441583120157,9,2005,1,0
"286",0.755741958377514,10,2005,1,0
"287",0.533904505275985,11,2005,1,0
"288",0.125518997809129,12,2005,0,1
"289",0.00119321571635654,1,2006,0,1
"290",0.00127844541038193,2,2006,0,1
"291",0.000170502994955836,3,2006,0,1
"292",0.115755441741358,4,2006,0,1
"293",0.491164745564928,5,2006,0,1
"294",0.727741471759614,6,2006,1,0
"295",0.91303082657083,7,2006,1,0
"296",0.96761271627035,8,2006,1,0
"297",0.95815222023353,9,2006,1,0
"298",0.994545299582375,10,2006,1,0
"299",0.864740475581694,11,2006,1,0
"300",0.265149774394296,12,2006,0,1
"301",0.000341115057383522,1,2007,0,1
"302",0.000511378164153298,2,2007,0,1
"303",0.00963095542487093,3,2007,0,1
"304",0.0298303929088904,4,2007,0,1
"305",0.216816781860549,5,2007,0,1
"306",0.646030517905076,6,2007,1,0
"307",0.902724689150467,7,2007,1,0
"308",0.951753277718397,8,2007,1,0
"309",0.953549816756159,9,2007,1,0
