"yr","beuti_yr","beuti_stand","beuti_cent"
2005,0.287333333333333,-1.0670911106784,-0.834035087719298
2006,0.235,-1.13404804763998,-0.886368421052632
2007,0.644666666666667,-0.609907439195487,-0.476701754385965
2008,0.612666666666667,-0.650849260522315,-0.508701754385965
2009,0.386333333333333,-0.940427350948525,-0.735035087719298
2010,1.491,0.472918439438014,0.369631578947369
2011,0.678333333333333,-0.566833231341221,-0.443035087719298
2012,0.741,-0.486655497909516,-0.380368421052632
2013,2.14533333333333,1.31009339011055,1.0239649122807
2014,0.332666666666667,-1.00909019713206,-0.788701754385965
2015,0.818666666666667,-0.38728628573086,-0.302701754385965
2016,1.41666666666667,0.377814000314237,0.295298245614035
2017,2.343,1.56299443226481,1.22163157894737
2018,1.572,0.576552424671548,0.450631578947368
2019,0.882,-0.30625559768818,-0.239368421052632
2020,0.791333333333333,-0.422257424780859,-0.330035087719298
2021,1.32,0.254135581722778,0.198631578947368
2022,3.15933333333333,2.60743735340441,2.0379649122807
2023,1.44866666666667,0.418755821641065,0.327298245614035
